what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1362237823579
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1362237823579
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1362237823579
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1362237823581
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1362237823582
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1362237823582
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1362237823583
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1362237823583
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1362237823583
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1362237823584
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1362237823584
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1362237823585
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1362237823585
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1362237823586
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1362237823587
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1362237823587
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1362237823588
os,sysinfo,,,"linux",1362237823591
arch,sysinfo,,,"x86",1362237823591
ws,sysinfo,,,"gtk",1362237823591
locale,sysinfo,,,"en_US",1362237823591
processors,sysinfo,,,"4",1362237823591
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362237823591
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1362237823591
java.specification.name,sysinfo,,,"Java Platform API Specification",1362237823591
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362237823591
java.specification.version,sysinfo,,,"1.7",1362237823591
java.vendor,sysinfo,,,"Oracle Corporation",1362237823591
java.version,sysinfo,,,"1.7.0_15",1362237823591
java.vm.info,sysinfo,,,"mixed mode",1362237823591
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362237823591
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362237823591
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362237823591
java.vm.specification.version,sysinfo,,,"1.7",1362237823591
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362237823591
java.vm.version,sysinfo,,,"23.7-b01",1362237823591
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1362237823775
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1362237823779
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1362237825225
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1362237825229
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1362237825229
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1362237825265
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1362237825266
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1362237825302
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1362237825305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362237835352
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1362237835388
error,log,,,"Core exception while retrieving the content description",1362237842447
error,log,,,"Core exception while retrieving the content description",1362237842454
error,log,,,"Core exception while retrieving the content description",1362237842503
error,log,,,"Core exception while retrieving the content description",1362237842517
error,log,,,"Core exception while retrieving the content description",1362237842573
error,log,,,"Core exception while retrieving the content description",1362237842581
error,log,,,"Core exception while retrieving the content description",1362237842605
error,log,,,"Core exception while retrieving the content description",1362237842625
