what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843303892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843304638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362843307914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362843356766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843361815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843364392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843364830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843394459
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362843405156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362843436672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843461052
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843461215
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843461370
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843461538
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843461754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843462129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362843471745
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1362843493528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362843507484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1362843527216
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1362843527387
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1362843527555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1362843528473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843532343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362843532583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1362843533438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362843562094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843593025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843593972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362843594792
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843596571
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362843596615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843626287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843657195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362843660544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1362843662816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843662836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843667172
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1362843669003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.quickAccess",1362843669189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843669207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843670907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843671167
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1362843676253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843676296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362843677692
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843679015
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362843683888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362843701546
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843702011
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362843702586
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843704258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362843704726
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843706024
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362843706675
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362843707106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843717785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843772736
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362843774357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843780427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843782493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362843785772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844111312
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362844112176
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362844115687
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1362844121467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844122660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844123440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362844174083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362844181182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1362844185773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844185793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844193883
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362844206659
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362844208610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844217323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844218771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844222433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844223728
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362844225282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844227721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844234431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844239749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844241052
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362844243071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844275501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844293423
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362844294668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844297156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844342149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844346286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844444172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844511491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844541340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844542413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844548956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1362844550375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844551300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1362844564441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844565234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844566762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844571985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362844573137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362844574031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844575871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844578431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844579579
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362844580450
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362844581623
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362844581991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844583340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844648197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362844650678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362844805300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362848910641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849683876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849736089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849763628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849845597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362849847726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362849850918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362849854269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362849862843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849863222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849863437
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362849866887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362849867907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849882196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1362849938199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362849938231
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362849938410
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362849938468
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1362849942050
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1362849946591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362849948335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362849954423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.next",1362849959648
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1362849959934
